(-993225458979902109, 35) 1 | (35, 993225458979902109) 6
(-1298763748637858, 161102900609) 4 | (161102900609, 1298763748637858) 2
(-1290702532077256, 8761257704249901) 2 | (8761257704249901, 1290702532077256) 0
(-1261790574044412, 345780433) 5 | (345780433, 1261790574044412) 2
(-1233533306761513, 799323651654211) 7 | (799323651654211, 1233533306761513) 0
(-1212845028498753, 616449097957) 6 | (616449097957, 1212845028498753) 1
(-1204144637304849, 773043667249420) 1 | (773043667249420, 1204144637304849) 1
(-1138161552494201, 31100479) 1 | (31100479, 1138161552494201) 2
(-1125585412365293, 166689743902773) 1 | (166689743902773, 1125585412365293) 3
(-1116981287170538, 127755595461886057) 1 | (127755595461886057, 1116981287170538) 1
(-1114645045296290, 652565569294189) 7 | (652565569294189, 1114645045296290) 33
(-1111523547827565, 4708698724572737) 9 | (4708698724572737, 1111523547827565) 1
(-1110183611584013, 23) 24 | (23, 1110183611584013) 48
(-1097494129147087, 1009912) 2 | (1009912, 1097494129147087) 2
(-1093266633853175, 101009623382) 6 | (101009623382, 1093266633853175) 2
(-1090011112732987, 5737045) 24 | (5737045, 1090011112732987) 0
(-1083099494512821, 4) 8 | (4, 1083099494512821) 0
(-1075011818604097, 312116310556995) 9 | (312116310556995, 1075011818604097) 1
(-1059730538605145, 41008431657477338) 4 | (41008431657477338, 1059730538605145) 2
(-1050772958274803, 1493785110872535) 5 | (1493785110872535, 1050772958274803) 4
(-1014718912967552, 8160311231549401) 2 | (8160311231549401, 1014718912967552) 6
(-1006070019449669, 827375068691540132) 1 | (827375068691540132, 1006070019449669) 2
(-1005549586765069, 1110389643931) 3 | (1110389643931, 1005549586765069) 2
(-996316323070407, 453704920419478) 48 | (453704920419478, 996316323070407) 1
(-994218233775122, 262094615313407) 3 | (262094615313407, 994218233775122) 1
(-991070572352230, 257752852078959) 1 | (257752852078959, 991070572352230) 1
(-990091247946884, 740814095253) 3 | (740814095253, 990091247946884) 0
(-989566024825811, 9) 4 | (9, 989566024825811) 5
(-989411713574943, 191713) 7 | (191713, 989411713574943) 3
(-979693368449771, 260) 57 | (260, 979693368449771) 43
(-977329695981857, 2490316713869612) 3 | (2490316713869612, 977329695981857) 1
(-975051672583513, 7997322) 5 | (7997322, 975051672583513) 3
(-970418413599148, 88612111) 82 | (88612111, 970418413599148) 2
(-968563109487374, 295640542429) 7 | (295640542429, 968563109487374) 1
(-961891687544981, 664512097690510972) 2 | (664512097690510972, 961891687544981) 1
(-961814909710831, 74009321) 2 | (74009321, 961814909710831) 3
(-957767422276373, 374659456519720) 3 | (374659456519720, 957767422276373) 5
(-952976632172084, 239555348479663) 24 | (239555348479663, 952976632172084) 50
(-945963418420349, 434819373929056) 1 | (434819373929056, 945963418420349) 1
(-944384377533425, 4162000498334766) 1 | (4162000498334766, 944384377533425) 3
(-942258538854292, 730428289) 4 | (730428289, 942258538854292) 5
(-942011607798557, 711235198657012) 3 | (711235198657012, 942011607798557) 7
(-938201720396360, 7857) 1 | (7857, 938201720396360) 4
(-921833959581451, 453572887807435) 2 | (453572887807435, 921833959581451) 3
(-921368311997725, 508066205423838) 1 | (508066205423838, 921368311997725) 1
(-920882504448817, 59) 4 | (59, 920882504448817) 1
(-919496964820072, 741156320938145) 6 | (741156320938145, 919496964820072) 4
(-919364435623491, 2) 1 | (2, 919364435623491) 1
(-916911251476705, 351253572855777) 4 | (351253572855777, 916911251476705) 1
(-913425377837733, 562188769) 3 | (562188769, 913425377837733) 4
(-896348710594353, 13713035804) 1 | (13713035804, 896348710594353) 1
(-894073422088885, 184118111465773) 2 | (184118111465773, 894073422088885) 5
(-891223721774930, 38487661144060853) 3 | (38487661144060853, 891223721774930) 6
(-888402626192688, 788695769798813) 15 | (788695769798813, 888402626192688) 12
(-886835722083921, 2390) 1 | (2390, 886835722083921) 7
(-886123834886579, 886748336833372571) 2 | (886748336833372571, 886123834886579) 3
(-876117619241843, 390) 10 | (390, 876117619241843) 0
(-875526707031920, 1) 2 | (1, 875526707031920) 1
(-872613888545489, 825414558859960) 34 | (825414558859960, 872613888545489) 32
(-869413690429432, 222692853) 9 | (222692853, 869413690429432) 1
(-868487785550914, 681728635816766537) 3 | (681728635816766537, 868487785550914) 1
(-868415417812390, 357386638957843) 8 | (357386638957843, 868415417812390) 2
(-860010461382261, 87777523) 14 | (87777523, 860010461382261) 176
(-857460074747402, 493999386116247) 7 | (493999386116247, 857460074747402) 0
(-849592588467477, 1717535394810241) 2 | (1717535394810241, 849592588467477) 6
(-846788906165615, 894816056) 1 | (894816056, 846788906165615) 3
(-840852675350770, 34881694073) 8 | (34881694073, 840852675350770) 2
(-834358668124086, 3481180949485) 1 | (3481180949485, 834358668124086) 1
(-827218681840919, 201064797512512) 1 | (201064797512512, 827218681840919) 2
(-813437976537839, 760228143173314) 5 | (760228143173314, 813437976537839) 1
(-813244344991717, 645007629231540) 6 | (645007629231540, 813244344991717) 4
(-811879438749103, 420351345758720) 12 | (420351345758720, 811879438749103) 4
(-806689585366939, 71037481) 8 | (71037481, 806689585366939) 1
(-806073160627597, 94159245236141) 3 | (94159245236141, 806073160627597) 1
(-800811195542683, 8) 2 | (8, 800811195542683) 1
(-795563077664323, 1) 5 | (1, 795563077664323) 2
(-795370498094135, 25047) 4 | (25047, 795370498094135) 6
(-791901594607183, 110898057963778) 2 | (110898057963778, 791901594607183) 66
(-791006928226573, 966084268940489) 9 | (966084268940489, 791006928226573) 4
(-788952392578294, 2275690954816263) 3 | (2275690954816263, 788952392578294) 7
(-784055662617331, 435399939379695) 5 | (435399939379695, 784055662617331) 3
(-781718919972157, 136856280800173) 3 | (136856280800173, 781718919972157) 1
(-778430773774165, 6913840175273249) 2 | (6913840175273249, 778430773774165) 1
(-775601966111364, 9531853) 2 | (9531853, 775601966111364) 5
(-774166365071059, 436367383434898) 4 | (436367383434898, 774166365071059) 3
(-772719984481747, 405484767898300) 1 | (405484767898300, 772719984481747) 7
(-769819860597195, 66329) 1 | (66329, 769819860597195) 6
(-769750732735549, 5783391774176869) 4 | (5783391774176869, 769750732735549) 5
(-768089663008213, 9496259007) 8 | (9496259007, 768089663008213) 2
(-767865583207708, 4953888200969123) 6 | (4953888200969123, 767865583207708) 1
(-765087074941587, 810085792948219) 43 | (810085792948219, 765087074941587) 17
(-760404956384764, 415637970983607) 6 | (415637970983607, 760404956384764) 3
(-748976367783105, 230345688688594) 2 | (230345688688594, 748976367783105) 7
(-742475196312792, 557284565876806013) 10 | (557284565876806013, 742475196312792) 0
(-729630416691557, 344478989638980) 3 | (344478989638980, 729630416691557) 7
(-729487250296106, 346813889949101) 4 | (346813889949101, 729487250296106) 1
(-727943448446343, 3763427559458933) 5 | (3763427559458933, 727943448446343) 0
(-723726645342282, 59302992126455) 1 | (59302992126455, 723726645342282) 1
(-720539255869035, 13) 3 | (13, 720539255869035) 1
(-719617647472466, 21052827522649) 1 | (21052827522649, 719617647472466) 3
(-719477061343808, 1034739533851371) 9 | (1034739533851371, 719477061343808) 0
(-714599726512664, 820301693037453) 8 | (820301693037453, 714599726512664) 1
(-712838475223553, 1788610255764) 7 | (1788610255764, 712838475223553) 1
(-712297041135513, 5395576569740) 5 | (5395576569740, 712297041135513) 3
(-706993625694394, 5) 6 | (5, 706993625694394) 1
(-705919533619615, 636532005444318) 7 | (636532005444318, 705919533619615) 1
(-702955229705079, 1) 1 | (1, 702955229705079) 4
(-701710406610824, 9914639528951) 4 | (9914639528951, 701710406610824) 2
(-697389050221909, 582417646256057) 8 | (582417646256057, 697389050221909) 1
(-696944477591175, 2) 6 | (2, 696944477591175) 5
(-695462565215233, 816000375184952) 9 | (816000375184952, 695462565215233) 0
(-692889405222751, 852480853640584) 5 | (852480853640584, 692889405222751) 1
(-683210398050803, 832) 1 | (832, 683210398050803) 4
(-682342905244879, 547383225309076) 1 | (547383225309076, 682342905244879) 6
(-680374464572131, 855111434651262) 8 | (855111434651262, 680374464572131) 1
(-673393640474201, 67) 4 | (67, 673393640474201) 65
(-672496262413278, 1242788173) 1 | (1242788173, 672496262413278) 6
(-669884678982225, 531394556398262) 2 | (531394556398262, 669884678982225) 5
(-668147232527428, 6847684185) 1 | (6847684185, 668147232527428) 1
(-668037240898618, 553362432349545) 8 | (553362432349545, 668037240898618) 1
(-661742377282452, 20565630829477) 2 | (20565630829477, 661742377282452) 1
(-657473093376385, 1905599) 1 | (1905599, 657473093376385) 3
(-640891853277501, 898464067895564) 4 | (898464067895564, 640891853277501) 0
(-639279847941639, 16471648) 7 | (16471648, 639279847941639) 0
(-638189348921581, 9349039682350) 1 | (9349039682350, 638189348921581) 7
(-630450457528349, 668456204633573) 4 | (668456204633573, 630450457528349) 2
(-626613731243877, 549127150593235) 1 | (549127150593235, 626613731243877) 1
(-623496406207410, 8810791) 5 | (8810791, 623496406207410) 1
(-616125362969237, 759859421427) 1 | (759859421427, 616125362969237) 2
(-611460561816615, 359365920526211) 2 | (359365920526211, 611460561816615) 2
(-609418670320639, 300299243) 1 | (300299243, 609418670320639) 1
(-604249873992395, 9901267543) 1 | (9901267543, 604249873992395) 1
(-600665754201098, 609355463060487) 2 | (609355463060487, 600665754201098) 1
(-598850304455367, 488006567421772) 1 | (488006567421772, 598850304455367) 4
(-586393626217687, 91380) 2 | (91380, 586393626217687) 6
(-584990000839982, 293325269697501) 41 | (293325269697501, 584990000839982) 40
(-583772538406083, 65739798072605) 1 | (65739798072605, 583772538406083) 9
(-583752077122918, 243965653212591) 4 | (243965653212591, 583752077122918) 2
(-556594755340583, 44449) 8 | (44449, 556594755340583) 0
(-556569676349854, 573108415992615) 7 | (573108415992615, 556569676349854) 1
(-555291662308031, 801654435185537) 5 | (801654435185537, 555291662308031) 2
(-554563752425871, 393123251067922) 1 | (393123251067922, 554563752425871) 0
(-548717938957741, 798526826128534) 3 | (798526826128534, 548717938957741) 1
(-543193164319329, 87758670158959) 30 | (87758670158959, 543193164319329) 26
(-543064381468911, 519474992640988) 3 | (519474992640988, 543064381468911) 1
(-540594648850028, 857566338934013) 2 | (857566338934013, 540594648850028) 1
(-540213840501175, 68982178708013) 2 | (68982178708013, 540213840501175) 2
(-528001106692583, 22782) 4 | (22782, 528001106692583) 4
(-527131107161119, 508949381432004) 5 | (508949381432004, 527131107161119) 5
(-525457590122455, 226209571657036) 4 | (226209571657036, 525457590122455) 2
(-525002263399843, 3162781320611428) 3 | (3162781320611428, 525002263399843) 4
(-523646483234635, 9563497573606018) 65 | (9563497573606018, 523646483234635) 18
(-519551529099283, 918780868290213) 1 | (918780868290213, 519551529099283) 2
(-517864374269593, 939256136635897) 20 | (939256136635897, 517864374269593) 13
(-508817126273063, 4064674217515) 6 | (4064674217515, 508817126273063) 4
(-506941791282376, 21931516221) 9 | (21931516221, 506941791282376) 0
(-506593429648517, 4945996) 1 | (4945996, 506593429648517) 4
(-505412804126561, 616939150432552) 8 | (616939150432552, 505412804126561) 0
(-503382821126175, 63334532197) 3 | (63334532197, 503382821126175) 5
(-503246992963283, 3974978764572386) 9 | (3974978764572386, 503246992963283) 1
(-502816590256265, 40315710423146) 4 | (40315710423146, 502816590256265) 2
(-502612632503703, 742388871861181) 147 | (742388871861181, 502612632503703) 292
(-501062195079454, 211959563) 4 | (211959563, 501062195079454) 3
(-496749910014809, 7) 5 | (7, 496749910014809) 4
(-490067430438397, 887662939859578) 7 | (887662939859578, 490067430438397) 1
(-488703037243259, 21715) 2 | (21715, 488703037243259) 4
(-486354821513911, 78747) 5 | (78747, 486354821513911) 3
(-486008889512923, 682286191862668) 1 | (682286191862668, 486008889512923) 1
(-483661197971997, 7709072) 5 | (7709072, 483661197971997) 1
(-479505998449143, 18995238775) 1 | (18995238775, 479505998449143) 1
(-477799266947702, 230281211886925) 3 | (230281211886925, 477799266947702) 6
(-477286733685975, 364423614147661) 2 | (364423614147661, 477286733685975) 5
(-476929859778594, 119199143364503) 7 | (119199143364503, 476929859778594) 2
(-475677279727603, 136333909644730) 2 | (136333909644730, 475677279727603) 1
(-472737092652325, 396229426577213) 2 | (396229426577213, 472737092652325) 3
(-470208456107704, 439) 3 | (439, 470208456107704) 4
(-464573360140264, 781674579115201) 6 | (781674579115201, 464573360140264) 2
(-461722502180144, 925018197424801) 9 | (925018197424801, 461722502180144) 1
(-456392442931387, 471) 30 | (471, 456392442931387) 36
(-455634138710634, 159749979268951) 2 | (159749979268951, 455634138710634) 5
(-453042518535513, 6092401677604909) 7 | (6092401677604909, 453042518535513) 2
(-448544250659089, 360303167119) 2 | (360303167119, 448544250659089) 4
(-445998439320521, 7376398396) 3 | (7376398396, 445998439320521) 1
(-441015604577003, 325111441943058) 1 | (325111441943058, 441015604577003) 1
(-437127530830496, 123826880938131) 3 | (123826880938131, 437127530830496) 7
(-434670763084659, 14743) 7 | (14743, 434670763084659) 2
(-430343077183484, 13341) 1 | (13341, 430343077183484) 85
(-426182351423595, 38) 14 | (38, 426182351423595) 4
(-425220945790583, 161714193824728) 5 | (161714193824728, 425220945790583) 2
(-425170214668116, 414400266052079) 1 | (414400266052079, 425170214668116) 2
(-424942140970483, 4) 1 | (4, 424942140970483) 2
(-424413948958118, 1) 7 | (1, 424413948958118) 3
(-423238505558587, 15429) 1 | (15429, 423238505558587) 1
(-421974956042436, 1383402691049147) 1 | (1383402691049147, 421974956042436) 2
(-416569184583896, 160391322345623) 1 | (160391322345623, 416569184583896) 3
(-416211323960903, 2486207056196) 4 | (2486207056196, 416211323960903) 3
(-414763739559091, 95) 3 | (95, 414763739559091) 5
(-412033450945405, 318307406617864) 3 | (318307406617864, 412033450945405) 5
(-410057545406736, 2656321147439) 8 | (2656321147439, 410057545406736) 0
(-406282210829522, 143385106449545103) 2 | (143385106449545103, 406282210829522) 6
(-406269605293492, 28651041391119) 54 | (28651041391119, 406269605293492) 45
(-406231215073242, 265343275) 2 | (265343275, 406231215073242) 1
(-402939449213615, 129195943983184) 4 | (129195943983184, 402939449213615) 1
(-396627424186111, 4117) 3 | (4117, 396627424186111) 2
(-395375358795561, 198621532101629) 1 | (198621532101629, 395375358795561) 7
(-387824349143423, 235972587244397) 8 | (235972587244397, 387824349143423) 32
(-383912990616413, 368169311156964) 2 | (368169311156964, 383912990616413) 4
(-383518981971989, 117993569783729) 2 | (117993569783729, 383518981971989) 0
(-380729940474726, 3288395533) 4 | (3288395533, 380729940474726) 5
(-380421765407534, 30344005359299) 3 | (30344005359299, 380421765407534) 1
(-377305540196134, 277514373379) 4 | (277514373379, 377305540196134) 5
(-370721169722263, 826) 1 | (826, 370721169722263) 1
(-369431945605019, 358866858379171) 7 | (358866858379171, 369431945605019) 1
(-368756055047602, 45243) 4 | (45243, 368756055047602) 4
(-365550252870019, 49404717148512241) 1 | (49404717148512241, 365550252870019) 3
(-362491906406248, 802719967893343) 8 | (802719967893343, 362491906406248) 1
(-362413295615467, 775185245971598) 1 | (775185245971598, 362413295615467) 1
(-361693125785464, 64462131815913) 3 | (64462131815913, 361693125785464) 7
(-361577834704892, 290717141047445) 1 | (290717141047445, 361577834704892) 3
(-357371601702963, 39058382334228260) 3 | (39058382334228260, 357371601702963) 4
(-357265370997701, 22265) 5 | (22265, 357265370997701) 4
(-353741578193491, 7048520245) 6 | (7048520245, 353741578193491) 3
(-351760158239397, 247) 1 | (247, 351760158239397) 2
(-346584562812663, 855996530563679) 6 | (855996530563679, 346584562812663) 1
(-345466074715723, 4048957258632654) 9 | (4048957258632654, 345466074715723) 0
(-344796851331975, 2925711181) 5 | (2925711181, 344796851331975) 3
(-344654796897370, 306960829732991) 4 | (306960829732991, 344654796897370) 3
(-343984267173989, 23853041107690) 3 | (23853041107690, 343984267173989) 2
(-343255029648307, 229246148323839) 2 | (229246148323839, 343255029648307) 4
(-337321294164192, 820022373737129) 5 | (820022373737129, 337321294164192) 2
(-334772617512566, 809) 3 | (809, 334772617512566) 4
(-332325579202792, 273513056470589) 4 | (273513056470589, 332325579202792) 2
(-327641268008741, 2402984099260) 2 | (2402984099260, 327641268008741) 1
(-327468118634329, 903408223929794) 3 | (903408223929794, 327468118634329) 2
(-324425445683238, 313157403181) 1 | (313157403181, 324425445683238) 1
(-324367069995569, 88325) 7 | (88325, 324367069995569) 3
(-323025365419437, 40514266572055) 2 | (40514266572055, 323025365419437) 2
(-322404462628015, 73318) 4 | (73318, 322404462628015) 0
(-321222297109513, 448603665041374) 4 | (448603665041374, 321222297109513) 6
(-318729389379996, 597941960053381) 5 | (597941960053381, 318729389379996) 33
(-316083242847403, 133300270696306) 2 | (133300270696306, 316083242847403) 2
(-315846684513859, 327449840) 2 | (327449840, 315846684513859) 1
(-312156566396351, 241248742) 5 | (241248742, 312156566396351) 1
(-310393742158413, 790122469275134) 7 | (790122469275134, 310393742158413) 2
(-309956708769465, 330708467447) 1 | (330708467447, 309956708769465) 4
(-306261328954265, 25570287738008) 1 | (25570287738008, 306261328954265) 2
(-304365354631033, 16455652502574) 3 | (16455652502574, 304365354631033) 1
(-301079135125239, 3275004454887260) 5 | (3275004454887260, 301079135125239) 0
(-298811984118868, 427608504513) 2 | (427608504513, 298811984118868) 4
(-297349345282982, 995605777657699) 3 | (995605777657699, 297349345282982) 1
(-297318004670409, 175177825966369) 2 | (175177825966369, 297318004670409) 1
(-296125899391656, 42831125628457) 7 | (42831125628457, 296125899391656) 1
(-292584873779883, 887198181440405) 1 | (887198181440405, 292584873779883) 1
(-288760781094055, 507820962) 3 | (507820962, 288760781094055) 2
(-288526683861883, 209577906392857) 8 | (209577906392857, 288526683861883) 2
(-285577735109173, 466702809073255) 1 | (466702809073255, 285577735109173) 7
(-285281885875061, 241989562943414) 5 | (241989562943414, 285281885875061) 2
(-285270298310866, 945446071167583) 9 | (945446071167583, 285270298310866) 1
(-285105526660663, 456370834587990) 63 | (456370834587990, 285105526660663) 192
(-283487794754223, 359831987573741) 4 | (359831987573741, 283487794754223) 3
(-280994217991295, 393960377604864) 21 | (393960377604864, 280994217991295) 51
(-280310186885473, 28285225296) 4 | (28285225296, 280310186885473) 5
(-278817251622761, 92907667464891) 5 | (92907667464891, 278817251622761) 1
(-278616233435334, 737) 1 | (737, 278616233435334) 8
(-277190200789709, 37585599830773) 92 | (37585599830773, 277190200789709) 6
(-272117762408489, 35992051) 12 | (35992051, 272117762408489) 1
(-266994472895721, 4437415789243) 2 | (4437415789243, 266994472895721) 2
(-266902270976095, 94302622189602) 5 | (94302622189602, 266902270976095) 1
(-266079505283227, 533804731789388) 9 | (533804731789388, 266079505283227) 0
(-261886143063919, 454483297) 4 | (454483297, 261886143063919) 3
(-261412531694603, 1423425045778477) 1 | (1423425045778477, 261412531694603) 1
(-260956362895085, 40043278741) 4 | (40043278741, 260956362895085) 6
(-260545017393831, 1924) 1 | (1924, 260545017393831) 1
(-255605343013575, 480201364375156) 3 | (480201364375156, 255605343013575) 4
(-248547557838355, 27) 4 | (27, 248547557838355) 4
(-248540487604677, 114944931484280) 2 | (114944931484280, 248540487604677) 3
(-241180107145831, 358944116514133) 3 | (358944116514133, 241180107145831) 5
(-232981863749903, 935493632877516) 3 | (935493632877516, 232981863749903) 1
(-232965853897657, 630548849393267) 1 | (630548849393267, 232965853897657) 4
(-232466042662373, 6520842428) 5 | (6520842428, 232466042662373) 4
(-232109177650783, 114119638887492) 2 | (114119638887492, 232109177650783) 4
(-231756877234848, 115499) 1 | (115499, 231756877234848) 3
(-228847800261353, 202919307115238947) 5 | (202919307115238947, 228847800261353) 5
(-227494795664087, 4087341761) 4 | (4087341761, 227494795664087) 1
(-222004816092933, 563996862148331) 6 | (563996862148331, 222004816092933) 0
(-221539155664382, 2728019871) 4 | (2728019871, 221539155664382) 1
(-220477143144021, 29215304063) 2 | (29215304063, 220477143144021) 1
(-217911644989654, 4063272063257909) 5 | (4063272063257909, 217911644989654) 3
(-217754979472249, 245286810733457) 2 | (245286810733457, 217754979472249) 2
(-217628446410382, 3130474707490225) 1 | (3130474707490225, 217628446410382) 4
(-215380692514439, 334209172631070) 6 | (334209172631070, 215380692514439) 3
(-214945654653763, 51570546252308) 40 | (51570546252308, 214945654653763) 1
(-214617437639572, 9) 8 | (9, 214617437639572) 1
(-214518113224779, 10888249) 6 | (10888249, 214518113224779) 38
(-213048472225007, 18883540377417) 1 | (18883540377417, 213048472225007) 3
(-212095278367548, 8861) 1 | (8861, 212095278367548) 4
(-211248734110264, 327848457583459) 3 | (327848457583459, 211248734110264) 4
(-210744757780873, 498740622950098) 2 | (498740622950098, 210744757780873) 3
(-210644507786413, 62474339737881548) 3 | (62474339737881548, 210644507786413) 4
(-204313272490508, 1165016748584273) 4 | (1165016748584273, 204313272490508) 5
(-202763448497124, 729542653622461) 2 | (729542653622461, 202763448497124) 7
(-202669501601231, 235503318592326) 1 | (235503318592326, 202669501601231) 3
(-199941043441192, 45387520417656927) 2 | (45387520417656927, 199941043441192) 1
(-196594638900156, 405887754415141) 7 | (405887754415141, 196594638900156) 23
(-195192581761918, 452952543136045) 3 | (452952543136045, 195192581761918) 4
(-195189645462556, 93653771526383) 3 | (93653771526383, 195189645462556) 6
(-195145787496104, 169) 73 | (169, 195145787496104) 16
(-194767496976250, 1397784191) 1 | (1397784191, 194767496976250) 19
(-191797788467489, 316228981070840526) 1 | (316228981070840526, 191797788467489) 9
(-191668538957237, 29890406442643) 1 | (29890406442643, 191668538957237) 3
(-189559216942771, 23656) 4 | (23656, 189559216942771) 1
(-185484932024780, 7605786138317321) 3 | (7605786138317321, 185484932024780) 7
(-179642053438795, 670593413815831) 4 | (670593413815831, 179642053438795) 12
(-179411858966169, 95) 702 | (95, 179411858966169) 252
(-178924117092954, 74699173486705) 4 | (74699173486705, 178924117092954) 2
(-175156738787939, 624553594946089) 3 | (624553594946089, 175156738787939) 4
(-174948554583275, 166159839281277) 4 | (166159839281277, 174948554583275) 6
(-173842502542985, 1) 1 | (1, 173842502542985) 3
(-173499061924684, 75) 5 | (75, 173499061924684) 36
(-173313501661843, 8899175991802670) 7 | (8899175991802670, 173313501661843) 2
(-172446615031391, 248591437846050) 1 | (248591437846050, 172446615031391) 2
(-167783942994041, 1102200876) 5 | (1102200876, 167783942994041) 0
(-165653407136451, 461621683864904) 2 | (461621683864904, 165653407136451) 8
(-164266048008073, 9799039646180) 1 | (9799039646180, 164266048008073) 9
(-164202664286968, 746987) 2 | (746987, 164202664286968) 3
(-161511609087109, 839927455767254) 1 | (839927455767254, 161511609087109) 2
(-159334956668691, 322961505898877) 6 | (322961505898877, 159334956668691) 1
(-154847919353158, 79018855678605817) 2 | (79018855678605817, 154847919353158) 6
(-153241220189153, 15995575) 141 | (15995575, 153241220189153) 65
(-150670630468177, 9146516436872597) 2 | (9146516436872597, 150670630468177) 1
(-146845972193568, 5) 5 | (5, 146845972193568) 1
(-143543172322891, 46) 2 | (46, 143543172322891) 1
(-141443813898607, 521132709980679) 1 | (521132709980679, 141443813898607) 1
(-140594198423221, 31173062512835111) 1 | (31173062512835111, 140594198423221) 1
(-140529270020817, 331882684) 2 | (331882684, 140529270020817) 8
(-139830114074167, 248489) 5 | (248489, 139830114074167) 1
(-139028774743829, 7) 9 | (7, 139028774743829) 1
(-134394902731538, 490846470975137) 2 | (490846470975137, 134394902731538) 2
(-127128829230325, 224563394605401) 6 | (224563394605401, 127128829230325) 1
(-127106666548285, 71188868201908) 1 | (71188868201908, 127106666548285) 0
(-126952904909813, 269174274) 2 | (269174274, 126952904909813) 1
(-125505894698671, 16261462973521) 2 | (16261462973521, 125505894698671) 6
(-125139281807105, 716186) 3 | (716186, 125139281807105) 1
(-124345335245279, 10) 1 | (10, 124345335245279) 65
(-124335758088307, 316733274898500) 3 | (316733274898500, 124335758088307) 4
(-124058321316176, 7) 8 | (7, 124058321316176) 1
(-120531937369582, 283761319802013) 8 | (283761319802013, 120531937369582) 2
(-119643925064066, 31525843926972141) 1 | (31525843926972141, 119643925064066) 1
(-118341985809403, 3066370611933648) 2 | (3066370611933648, 118341985809403) 3
(-109123685929747, 823322889752153) 6 | (823322889752153, 109123685929747) 1
(-107978163048005, 264134592502) 4 | (264134592502, 107978163048005) 5
(-107160126845802, 4027) 3 | (4027, 107160126845802) 3
(-106321447585553, 120720523) 3 | (120720523, 106321447585553) 6
(-105644375166371, 14825223838612) 1 | (14825223838612, 105644375166371) 1
(-102372847139174, 21514726345777) 54 | (21514726345777, 102372847139174) 6
(-99979925278052, 177056074517903) 6 | (177056074517903, 99979925278052) 0
(-99619788460355, 54844896) 2 | (54844896, 99619788460355) 4
(-99508646635952, 45126600711963) 5 | (45126600711963, 99508646635952) 1
(-99449263187355, 74817950579731) 2 | (74817950579731, 99449263187355) 6
(-99350675374621, 64) 1 | (64, 99350675374621) 1
(-98971653362824, 79002265919449) 7 | (79002265919449, 98971653362824) 0
(-98803589093686, 650187495284849) 3 | (650187495284849, 98803589093686) 7
(-98772350498021, 57646165816052) 1 | (57646165816052, 98772350498021) 3
(-98552944715045, 667978352114982) 47 | (667978352114982, 98552944715045) 15
(-97903741408775, 65210922687838) 5 | (65210922687838, 97903741408775) 1
(-97842088130909, 5560) 1 | (5560, 97842088130909) 1
(-96584120504455, 97952560990851) 2 | (97952560990851, 96584120504455) 3
(-96421471728577, 447585620123828) 8 | (447585620123828, 96421471728577) 1
(-95767369038712, 98979644230291) 5 | (98979644230291, 95767369038712) 1
(-95534549827403, 226719) 5 | (226719, 95534549827403) 2
(-95460388166602, 39319146979749) 1 | (39319146979749, 95460388166602) 2
(-94727829805625, 21774221076504) 4 | (21774221076504, 94727829805625) 3
(-94359391395009, 22974877642018) 3 | (22974877642018, 94359391395009) 4
(-94299580084101, 49227750763141) 7 | (49227750763141, 94299580084101) 0
(-93826315365482, 426982778563423) 2 | (426982778563423, 93826315365482) 2
(-93620349852184, 7) 6 | (7, 93620349852184) 0
(-93490780828796, 1161) 1 | (1161, 93490780828796) 6
(-91917944960755, 93758947366346) 9 | (93758947366346, 91917944960755) 1
(-91777875954092, 15) 81 | (15, 91777875954092) 210
(-91491575899411, 87886199) 1 | (87886199, 91491575899411) 7
(-91189890017389, 37224) 3 | (37224, 91189890017389) 1
(-91171786903775, 78227591688861) 4 | (78227591688861, 91171786903775) 6
(-90910603433229, 49) 1 | (49, 90910603433229) 6
(-90819315054891, 38603166296555) 1 | (38603166296555, 90819315054891) 2
(-90725163026027, 84647252354714) 2 | (84647252354714, 90725163026027) 1
(-90501894647014, 10101437806129) 52 | (10101437806129, 90501894647014) 2
(-90214302143884, 498897725043475) 3 | (498897725043475, 90214302143884) 1
(-89911697793724, 6790985) 1 | (6790985, 89911697793724) 0
(-89723081321314, 105103314818091) 51 | (105103314818091, 89723081321314) 44
(-89210867530587, 13454) 1 | (13454, 89210867530587) 4
(-89186220860748, 77253930772567) 3 | (77253930772567, 89186220860748) 1
(-88876517831925, 27983056) 1 | (27983056, 88876517831925) 1
(-88704151538807, 515584674) 1 | (515584674, 88704151538807) 8
(-88702764493809, 57304574635694) 5 | (57304574635694, 88702764493809) 0
(-88560059389962, 66592341526883) 1 | (66592341526883, 88560059389962) 2
(-88182490736502, 4336228415363) 2 | (4336228415363, 88182490736502) 1
(-88155079342497, 988409990828) 1 | (988409990828, 88155079342497) 2
(-87969006873339, 251807004876371) 1 | (251807004876371, 87969006873339) 7
(-87602235842246, 4105863776428141) 3 | (4105863776428141, 87602235842246) 4
(-87558848784721, 27892649213899) 3 | (27892649213899, 87558848784721) 6
(-87408668445423, 168578117199476) 2 | (168578117199476, 87408668445423) 0
(-87397203190551, 6435577496) 18 | (6435577496, 87397203190551) 36
(-87275933055107, 155522979456260) 4 | (155522979456260, 87275933055107) 2
(-86868760490825, 23949468) 6 | (23949468, 86868760490825) 1
(-86512379155902, 758485131031) 2 | (758485131031, 86512379155902) 2
(-86428448555499, 2341) 77 | (2341, 86428448555499) 18
